192.168.2.21 - - [05/Jul/2018:13:30:03 +0800] "GET /hp/device/InternalPages/Index?id=ConfigurationPage HTTP/1.1" 404 161
127.0.0.1 - - [05/Jul/2018:14:35:22 +0800] "GET /collect?v=1&_v=j43&a=111957153&t=event&_s=4&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1195x929&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1131820734 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:14:35:22 +0800] "GET /collect?v=1&_v=j43&a=111957153&t=event&_s=2&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1195x929&je=0&ec=source&ea=show&el=ui&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=315033349 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:14:35:22 +0800] "GET /collect?v=1&_v=j43&a=111957153&t=pageview&_s=3&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1195x929&je=0&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=83379200 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:14:35:22 +0800] "GET /r/collect?v=1&_v=j43&a=111957153&t=event&_s=1&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1195x929&je=0&ec=source&ea=show&el=gold&_u=SACAAEABI~&jid=1692517082&cid=2113711572.1500619903&tid=UA-61022745-2&_r=1&z=1295660442 HTTP/1.1" 404 141
127.0.0.1 - - [05/Jul/2018:14:35:22 +0800] "GET /collect?v=1&_v=j43&a=111957153&t=event&_s=5&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1195x929&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=611393997 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:14:35:22 +0800] "GET /collect?v=1&_v=j43&a=111957153&t=event&_s=6&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1195x929&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=2004990698 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:14:45:56 +0800] "GET /collect?v=1&_v=j43&a=1772191039&t=event&_s=2&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=show&el=ui&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1693804994 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:14:45:56 +0800] "GET /collect?v=1&_v=j43&a=1772191039&t=event&_s=4&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=72287277 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:14:45:56 +0800] "GET /r/collect?v=1&_v=j43&a=1772191039&t=event&_s=1&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=show&el=gold&_u=SACAAEABI~&jid=282751335&cid=2113711572.1500619903&tid=UA-61022745-2&_r=1&z=8354181 HTTP/1.1" 404 141
127.0.0.1 - - [05/Jul/2018:14:45:56 +0800] "GET /collect?v=1&_v=j43&a=1772191039&t=pageview&_s=3&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=155276928 HTTP/1.1" 404 139
